campaign	category	step	mean_loss	mean_auc	mean_anlp	x	embedding_dim	batch_size	state_size	lr	anlp_lr	l2_norm	alpha	beta
2997	TRAIN	4600	0.197394	0.9521	1.1491	0.4667	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	4700	0.253131	0.9458	1.2746	0.5587	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	4800	0.229691	0.9529	1.2417	0.5240	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	4900	0.250804	0.9507	1.2486	0.5507	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5000	0.235111	0.9467	1.2740	0.5369	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5100	0.219440	0.9567	1.1184	0.4870	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5200	0.242111	0.9550	1.1736	0.5253	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5300	0.236387	0.9567	1.2153	0.5267	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5400	0.251488	0.9490	1.2421	0.5502	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5500	0.222548	0.9483	1.2070	0.5085	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5600	0.257197	0.9430	1.2825	0.5651	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5700	0.216178	0.9571	1.1663	0.4927	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5800	0.224499	0.9570	1.1702	0.5034	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5900	0.206182	0.9619	1.1494	0.4773	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	6000	0.241948	0.9487	1.2344	0.5372	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	6000	0.362130	0.9109	9.3700	2.3086	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	6100	0.250491	0.9465	1.2483	0.5502	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	6200	0.262891	0.9464	1.2609	0.5677	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	6300	0.242803	0.9565	1.1983	0.5310	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	6400	0.229278	0.9558	1.1526	0.5056	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	6500	0.204988	0.9606	1.1301	0.4720	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	6600	0.232907	0.9542	1.1903	0.5175	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	6700	0.242693	0.9531	1.2310	0.5374	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	6800	0.274861	0.9399	1.2670	0.5832	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	6900	0.255298	0.9504	1.2505	0.5564	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	7000	0.217017	0.9636	1.1227	0.4850	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	7100	0.214630	0.9627	1.1483	0.4872	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	7200	0.224572	0.9570	1.1668	0.5028	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	7300	0.204475	0.9566	1.1951	0.4844	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	7400	0.224597	0.9497	1.2500	0.5195	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	7500	0.217307	0.9532	1.1890	0.4986	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	7600	0.218564	0.9610	1.1241	0.4871	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	7700	0.228693	0.9595	1.1451	0.5035	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	7800	0.209672	0.9603	1.1651	0.4846	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	7900	0.241039	0.9562	1.1702	0.5233	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	8000	0.236165	0.9490	1.2186	0.5271	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	8000	0.396088	0.9145	10.6396	2.6032	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	8100	0.236611	0.9487	1.1875	0.5214	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	8200	0.203840	0.9652	1.0879	0.4622	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	8300	0.194639	0.9600	1.1224	0.4581	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	8400	0.203017	0.9630	1.1432	0.4723	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	8500	0.227409	0.9510	1.1562	0.5041	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	8600	0.235091	0.9569	1.2170	0.5255	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	8700	0.220573	0.9585	1.1386	0.4924	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	8800	0.195018	0.9634	1.0809	0.4502	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	8900	0.202734	0.9607	1.0906	0.4614	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	9000	0.215471	0.9644	1.1187	0.4823	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	9100	0.222379	0.9574	1.1681	0.5005	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	9200	0.242862	0.9531	1.1758	0.5266	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	9300	0.234300	0.9530	1.1696	0.5151	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	9400	0.216620	0.9617	1.0599	0.4719	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	9500	0.201770	0.9639	1.0902	0.4602	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	9600	0.207707	0.9625	1.1447	0.4782	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	9700	0.225261	0.9582	1.1165	0.4936	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	9800	0.247524	0.9525	1.1671	0.5304	32	128	128	0.001000	0.001000	0.001	1.2	0.2
